,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"86,602","1,102,720","19,152","11,503","184,542","1,404,519",195605,322438,264224,86629,19595,6437,2029,784,500,1520,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen
1,"80,196","718,727","19,301","29,193","159,582","1,006,999",47952,90139,180619,157414,61356,24603,11095,4531,2081,2645,Kami no Tou
2,"45,683","365,927","15,424","16,735","112,529","556,298",28810,35754,66129,76166,39253,17625,10041,4031,1992,1486,Shokugeki no Souma: Gou no Sara
3,"47,076","343,114","16,687","8,672","125,809","541,358",70133,82869,76230,32806,10149,3908,1343,522,301,726,Fruits Basket 2nd Season
4,"44,704","283,831","14,782","35,169","133,406","511,892",11530,19369,51073,75582,42085,19109,9986,4534,2246,1740,Gleipnir
5,"35,887","321,665","10,695","15,909","94,685","478,841",19494,32372,73889,79795,32231,12731,4219,1548,622,581,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...
6,"49,064","244,355","20,359","19,668","116,585","450,031",18230,26763,57110,63032,25733,10036,3119,1043,490,436,Fugou Keiji: Balance:Unlimited
7,"22,718","254,325","10,845","14,586","80,551","383,025",13212,25416,58562,65890,28506,11856,4616,1675,686,602,BNA
8,"29,228","164,913","13,021","12,004","120,566","339,732",14763,29823,52486,31742,9982,3506,969,322,143,194,Kakushigoto
9,"25,920","168,086","9,549","17,666","99,489","320,710",6813,12425,31465,44430,27045,13494,6705,2607,1267,918,Yesterday wo Utatte
10,"32,668","150,063","12,713","21,003","84,771","301,218",7687,10131,27217,41273,22444,10865,4492,1872,854,710,Princess Connect! Re:Dive
11,"19,014","187,213","3,477","12,730","33,690","256,124",5129,6326,16013,35074,35150,21072,9733,4752,2404,1654,"Hachi-nan tte, Sore wa Nai deshou!"
12,"12,380","179,591","3,469","2,845","31,304","229,589",15892,31941,51164,25453,7135,2295,752,258,121,168,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season
13,"10,389","70,461","4,953","9,256","41,533","136,592",3594,5549,14381,20002,9345,4154,1496,681,233,235,Arte
14,"12,171","58,000","5,737","8,943","50,623","135,474",2919,5229,13506,16872,7499,3494,1296,477,221,162,Appare-Ranman!
15,"10,132","57,952","3,101","3,397","43,428","118,010",3815,4827,11989,13146,5411,2225,862,350,158,207,Tsugu Tsugumomo
16,"15,486","50,549","2,742","1,839","42,483","113,099",14593,14956,9889,3575,933,376,170,106,131,565,Kingdom 3rd Season
17,"9,779","58,083","2,213","8,095","26,449","104,619",1568,1642,2824,6306,9015,8808,6192,3328,2143,2050,Shironeko Project: Zero Chronicle
18,"7,128","35,276","3,272","6,518","35,682","87,876",1490,3301,9250,10592,4145,1913,649,234,154,136,Nami yo Kiitekure
19,"5,733","32,477","2,582","3,529","23,661","67,982",2150,3235,7762,9345,3595,1658,377,133,78,77,Houkago Teibou Nisshi
20,"5,667","19,049","2,601","15,480","22,566","65,363",435,512,1599,3163,4623,4649,3635,1894,1119,692,Listeners
21,"14,220","14,023","6,439","9,142","15,056","58,880",1366,1308,2679,4657,3940,2572,1472,707,344,297,Digimon Adventure:
22,"6,518","14,690","3,030","7,647","23,736","55,621",910,916,1874,3169,3028,2268,1249,557,316,225,Bungou to Alchemist: Shinpan no Haguruma
23,"3,147","29,690","1,351","1,183","17,968","53,339",2130,2330,6262,7328,2657,969,322,101,43,61,Jashin-chan Dropkick'
24,"4,042","19,001","1,292","6,224","11,874","42,433",486,343,1156,2838,3821,3405,1901,916,488,408,"Shachou, Battle no Jikan desu!"
25,"2,696","12,276","1,083","5,697","12,565","34,317",427,466,1126,2204,2592,2230,1439,910,485,368,Tamayomi
26,"3,489","8,491","2,018","6,587","13,509","34,094",673,606,1278,1990,2104,1598,941,554,357,359,Gal to Kyouryuu
27,"3,323","15,584","1,196",972,"12,355","33,430",2600,2668,3244,2066,767,350,136,78,34,97,IDOLiSH7 Second Beat!
28,"2,347","8,572","1,362","3,734","12,470","28,485",258,374,1066,1833,2038,1491,761,329,151,100,Kitsutsuki Tanteidokoro
29,"2,415","13,035",685,662,"6,250","23,047",712,1502,3099,3152,1202,406,137,51,20,53,Major 2nd 2nd Season
30,"1,812","5,334",748,"2,934","9,353","20,181",197,213,592,828,1092,1097,625,349,247,192,Shin Sakura Taisen the Animation
31,"3,049","3,139","1,180","2,940","8,422","18,730",259,272,623,772,884,685,457,355,222,362,Yu☆Gi☆Oh! Sevens
32,"2,232","6,426","1,142","2,102","6,745","18,647",640,546,1238,1856,1236,642,338,144,101,143,Bessatsu Olympia Kyklos
33,"3,029","3,512","1,104","3,616","5,814","17,075",203,329,417,662,968,1015,644,438,257,242,Shadowverse
34,"1,002","4,522",524,930,"5,451","12,429",283,272,561,1007,827,468,197,90,61,78,Argonavis from BanG Dream!
35,"1,198","1,607",619,746,"4,550","8,720",179,261,437,354,306,186,71,32,20,29,Mewkledreamy
36,280,"2,582",87,362,"1,564","4,875",157,86,240,504,530,374,104,55,39,40,Komatta Jiisan
37,391,"2,033",172,377,"1,669","4,642",154,269,271,291,301,183,90,51,31,41,Cardfight!! Vanguard Gaiden: If
38,416,"1,000",189,821,"2,159","4,585",100,48,76,187,238,208,109,69,46,61,Asatir: Mirai no Mukashi Banashi
39,496,"1,921",125,501,"1,461","4,504",108,269,171,204,250,261,141,96,68,130,Bakugan: Armored Alliance
40,336,"1,091",103,232,"1,219","2,981",150,209,264,126,107,52,19,15,8,18,Kiratto Pri☆chan Season 3
41,279,372,169,361,"1,308","2,489",32,12,22,37,77,109,58,32,15,43,Garugaku.: Sei Girls Square Gakuin
42,117,213,57,144,"1,201","1,732",21,5,5,25,28,24,15,5,4,20,Watanuki-san Chi to
43,188,254,75,310,794,"1,621",29,11,13,36,28,57,30,26,15,27,Tomica Kizuna Gattai: Earth Granner
44,125,435,39,196,645,"1,440",41,7,27,80,101,66,29,16,10,25,TV Yarou Nanaana: Kaibutsu Kraken wo Oe!
45,105,316,55,234,466,"1,176",15,10,26,48,67,27,31,16,12,16,Hakushon Daimaou 2020
46,102,240,44,152,560,"1,098",20,12,20,47,33,25,14,3,5,16,Motto! Majime ni Fumajime Kaiketsu Zorori
47,107,219,43,199,489,"1,057",28,5,4,18,20,31,22,13,8,23,Duel Masters King
48,97,101,41,194,519,952,21,1,3,5,7,10,14,7,7,22,"Anoyo no Subete wa, Obake-gumi!"
49,36,166,17,88,597,904,15,,6,8,26,34,14,1,4,7,Micchiri Wanko! Animation
50,89,142,29,134,356,750,11,5,12,14,28,24,17,5,7,10,Zo Zo Zo Zombie-kun (TV)
51,73,176,27,103,193,572,26,5,15,28,21,15,10,5,5,14,Catch! Tiniping
52,64,75,40,137,200,516,27,2,2,8,8,15,8,3,8,13,Norimono Man: Mobile Land no Car-kun
53,40,91,17,90,243,481,18,1,5,7,13,10,3,3,3,10,Neko Neko Nihonshi 5th Season
54,52,70,17,116,209,464,17,1,3,6,6,7,4,3,4,13,Bite-Choicar
55,25,98,13,92,181,409,10,1,4,2,11,12,7,9,4,10,Poccolies
56,60,0,21,153,126,360,5,1,,,3,1,1,,2,8,Origami Ninja Koyankinte
57,26,73,11,96,120,326,12,1,1,1,7,7,3,2,3,5,Oshiri Tantei 4th Season
58,12,103,10,96,84,305,10,,,2,14,18,9,3,3,11,Mukashi Keibanashi 2nd Season
59,16,70,14,89,82,271,14,1,,2,6,10,3,2,3,5,Washimo 8th Season
60,19,68,11,64,96,258,11,2,2,3,5,2,1,5,5,7,Sigan Yeohaengja Luke
61,12,64,7,50,119,252,18,2,4,7,3,3,1,2,,2,Sinbi Apartment: Ghost Ball Double X
62,12,56,7,63,76,214,11,,1,5,5,5,2,,2,2,Ma-eum-uisoli Season 2
63,7,64,2,72,37,182,10,,,2,5,6,5,2,1,9,Agisang-eo Ollie Tululutulu
