,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Demographic,Theme,Genre,Demographics
0,"Re: Life in a different world from zero 2nd Season, ReZero 2nd Season, Re:Zero - Starting Life in Another World 2",Re：ゼロから始める異世界生活,Re:ZERO -Starting Life in Another World- Season 2,['TV'],13,Finished Airing,"Jul 8, 2020 to Sep 30, 2020",['Summer 2020'],Wednesdays at 22:30 (JST),"['AT-X', 'Memory-Tech', 'Hakuhodo DY Music & Pictures', 'Kadokawa Media House', 'Kadokawa']","None found,",['White Fox'],['Light novel'],"['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",26 min. per ep.,R - 17+ (violence & profanity),8.33,#254,#127,"1,176,871","11,949",687226,"A reunion that was supposed to spell the arrival of peaceful times is quickly shattered when Subaru Natsuki and Emilia return to Irlam village. Witnessing the devastation left behind by the calamities known as Sin Archbishops, Subaru sinks into the depths of despair as his ability to redo proves futile. As the group makes their way to the Sanctuary in search of answers, Subaru has an unexpected encounter with the Witch of Greed—Echidna. Subjected to her untamed rhythm, he is forced to dive into the spirals of the past and future. At the same time, several mysterious threats set their sights on the Sanctuary, heralding a horrific fate for the hapless people trapped within. Everlasting contracts, past sins, and unrequited love will clash and submerge into a river of blood in the second season of Re:Zero kara Hajimeru Isekai Seikatsu. Pushed to the brink of hopelessness, how long will Subaru's resolve to save his loved ones last? [Written by MAL Rewrite]","['Prequel (TV) Re:Zero kara Hajimeru Isekai Seikatsu', 'Sequel (TV) Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2', 'Adaptation (Manga) Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero', 'Adaptation (Manga) Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo']",Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,,,,,,,
1,"I'd like to Borrow a Girlfriend, Kanokari",彼女、お借りします,Rent-a-Girlfriend,['TV'],12,Finished Airing,"Jul 11, 2020 to Sep 26, 2020",['Summer 2020'],Saturdays at 01:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'DMM pictures', 'DMM Music']","None found,",['TMS Entertainment'],['Manga'],"['Comedy', 'Romance']","['Adult Cast', 'Harem']",24 min. per ep.,PG-13 - Teens 13 or older,6.93,#4671,#162,"1,028,615","8,263",653441,"Kazuya Kinoshita is a 20-year-old college student who has a wonderful girlfriend: the bright and sunny Mami Nanami. But suddenly, he doesn't. Without warning, Mami breaks up with him, leaving him utterly heartbroken and lonely. Seeking to soothe the pain, he hires a rental girlfriend through an online app. His partner is Chizuru Mizuhara, who through her unparalleled beauty and cute demeanor, manages to gain Kazuya's affection. But after reading similar experiences other customers had had with Chizuru, Kazuya believes her warm smile and caring personality were all just an act to toy with his heart, and he rates her poorly. Aggravated, Chizuru lambastes him for his shameless hypocrisy, revealing her true pert and hot-tempered self. This one-sided exchange is cut short, however, when Kazuya finds out that his grandmother has collapsed. They dash toward the hospital and find Kazuya's grandmother already in good condition. Baffled by Chizuru's presence, she asks who this girl might be. On impulse, Kazuya promptly declares that they are lovers, forcing Chizuru to play the part. But with Kazuya still hung up on his previous relationship with Mami, how long can this difficult client and reluctant rental girlfriend keep up their act? [Written by MAL Rewrite]","['Sequel (TV) Kanojo, Okarishimasu 2nd Season', 'Adaptation (Manga) Kanojo, Okarishimasu']","Kanojo, Okarishimasu",Rent-a-Girlfriend,Rent-a-Girlfriend,Rent-a-Girlfriend,['Shounen'],,,
2,"Gat Obeu Hai Seukul, 갓 오브 하이스쿨, GOHS",THE GOD OF HIGH SCHOOL ゴッド・オブ・ハイスクール,The God of High School,['TV'],13,Finished Airing,"Jul 6, 2020 to Sep 28, 2020",['Summer 2020'],Mondays at 23:30 (JST),"['Crunchyroll', 'Sola Entertainment', 'Naver Webtoons']",['VIZ Media'],['MAPPA'],['Web manga'],"['Action', 'Fantasy']","['Martial Arts', 'Urban Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.07,#4039,#188,"951,159","4,202",537092,"The ""God of High School"" tournament has begun, seeking out the greatest fighter among Korean high school students! All martial arts styles, weapons, means, and methods of attaining victory are permitted. The prize? One wish for anything desired by the winner. Taekwondo expert Jin Mo-Ri is invited to participate in the competition. There he befriends karate specialist Han Dae-Wi and swordswoman Yu Mi-Ra, who both have entered for their own personal reasons. Mo-Ri knows that no opponent will be the same and that the matches will be the most ruthless he has ever fought in his life. But instead of being worried, this prospect excites him beyond belief. A secret lies beneath the facade of a transparent test of combat prowess the tournament claims to be—one that has Korean political candidate Park Mu-Jin watching every fight with expectant, hungry eyes. Mo-Ri, Dae-Wi, and Mi-Ra are about to discover what it really means to become the God of High School. [Written by MAL Rewrite]","['Adaptation (Manhwa) The God of High School', '']",The God of High School,The God Of High School,,,,,,
3,The Misfit of Demon King Academy: History's Strongest Demon King Reincarnates and Goes to School with His Descendants,魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～,The Misfit of Demon King Academy,['TV'],13,Finished Airing,"Jul 4, 2020 to Sep 26, 2020",['Summer 2020'],Saturdays at 23:30 (JST),"['Aniplex', 'Movic', 'AT-X', 'Studio Mausu', 'Tokyo MX', 'Q-Tec', 'Docomo Anime Store', 'Medicos Entertainment', 'BS11', 'Contents Seed', 'Kadokawa', 'ADK Marketing Solutions']",['Aniplex of America'],['SILVER LINK.'],['Light novel'],"['Action', 'Fantasy']","['Reincarnation', 'School']",23 min. per ep.,R - 17+ (violence & profanity),7.33,#2662,#228,"849,113","5,805",496504,"In the distant past, a war between humans and demons brought about widespread chaos and bloodshed. To put an end to this seemingly endless conflict, Demon King Anos Voldigoad willingly sacrificed his life, hoping to be reborn in a peaceful future. In preparation for their king's return, the demon race created the Demon King Academy, an elite institution tasked with determining Anos' identity when he reawakens. He reincarnates two millennia later, but to his surprise, he soon learns that the level of magic in the world has drastically waned during his absence. Moreover, when he enrolls at the academy to reclaim his rightful title, he finds out that demonkind remembers him differently. His personality, his deeds, and even his legacy are all falsified—masked beneath the name of an impostor. This ""lack"" of common knowledge renders him the academy's outlier—a misfit never before seen in history. Despite these drawbacks, Anos remains unfazed. As he sets out to uncover those altering his glorious past, he takes it upon himself to make his descendants recognize that their ruler has finally returned. [Written by MAL Rewrite]","['Sequel (TV) Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou', 'Adaptation (Manga) Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou', 'Adaptation (Light Novel) Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou', '']","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",The Misfit of Demon King Academy,The Misfit of Demon King Academy,The Misfit of Demon King Academy,,,,
4,"Enen no Shouboutai 2nd Season, Fire Force 2nd Season",炎炎ノ消防隊 弐ノ章,Fire Force Season 2,['TV'],24,Finished Airing,"Jul 4, 2020 to Dec 12, 2020",['Summer 2020'],Saturdays at 01:55 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'bilibili', 'DMM pictures', 'DMM Music']",['Funimation'],['David Production'],['Manga'],"['Action', 'Fantasy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.82,#991,#249,"818,840","2,985",433625,"After his confrontation in the Nether with his younger brother Shou, Shinra Kusakabe's resolve to become a hero that saves lives from the flame terror strengthens. Finding a way to turn the Infernals back into people, unraveling the mystery of the Evangelist and Adolla Burst, and saving his mother and Shou—these are the goals Shinra has in mind. However, he has come to realize that attaining these goals will not be easy, especially with the imminent danger the Evangelist poses. The Evangelist's plan is clear: to gather the eight pillars—the individuals who possess Adolla Burst—and sacrifice them to recreate the Great Cataclysm from 250 years ago. Having been revealed by the First Pillar that the birth of a new pillar is approaching, Shinra is determined to protect his fellow pillars from the Evangelist. Thus, the fiery battle between the Special Fire Force and the Evangelist ignites. Together with the Special Fire Force, Shinra's fight continues as he uncovers the truth about the Great Cataclysm and the nature of Adolla Bursts, as well as the mysteries behind human combustion. [Written by MAL Rewrite]","['Prequel (TV) Enen no Shouboutai', 'Sequel (TV) Enen no Shouboutai: San no Shou', 'Adaptation (Manga) Enen no Shouboutai', '']",Enen no Shouboutai: Ni no Shou,Fire Force Staffel 2,Fire Force Temporada 2,Fire Force Saison 2,['Shounen'],['Urban Fantasy'],,
5,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. 3rd Season, My Teen Romantic Comedy SNAFU 3, Oregairu 3, My youth romantic comedy is wrong as I expected 3",やはり俺の青春ラブコメはまちがっている。完,My Teen Romantic Comedy SNAFU Climax!,['TV'],12,Finished Airing,"Jul 10, 2020 to Sep 25, 2020",['Summer 2020'],Fridays at 01:58 (JST),"['Marvelous Entertainment', 'TBS', 'Movic', 'Delfi Sound', 'NBCUniversal Entertainment Japan']",['Sentai Filmworks'],['feel.'],['Light novel'],"['Comedy', 'Romance']","['Love Polygon', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,8.35,#241,#270,"767,886","14,455",424118,"Resolved to become a more independent person, Yukino Yukinoshita decides to smoothen things out with her parents, and the first step toward achieving that goal is to prove herself. As graduation draws closer for the third-year students, Iroha Isshiki—the president of the student council—requests a graduation prom in collaboration with the Volunteer Service Club. Yukino accepts this request of her own volition, hoping to use it as a chance to demonstrate her self-reliance, but what lies ahead of her may prove to be a hard hurdle to cross. Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan revolves around the graduation prom as emotions are poured into the preparations for the event. At the same time, a chance for the Volunteer Service Club members to better understand each other presents itself. And thus, Hachiman Hikigaya's hectic and bittersweet high school life begins to draw to a close. [Written by MAL Rewrite]","['Prequel (TV) Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku', 'Adaptation (Manga) Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue', 'Adaptation (Manga) Yahari Ore no Seishun Love Comedy wa Machigatteiru. @comic', 'Adaptation (Light Novel) Yahari Ore no Seishun Love Comedy wa Machigatteiru.']",Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,My Teen Romantic Comedy SNAFU Climax!,My Teen Romantic Comedy SNAFU Climax!,My Teen Romantic Comedy SNAFU Climax!,,,,
6,,GREAT PRETENDER,,['TV'],23,Finished Airing,"Jul 9, 2020 to Dec 17, 2020",['Summer 2020'],Thursdays at 00:55 (JST),"['Production I.G', 'Fuji TV', 'BS Fuji', 'TOHO animation', 'Hakuhodo DY Media Partners']","['Netflix', 'Anime Limited']",['Wit Studio'],Original,"['Action', 'Adventure', 'Mystery']","['Adult Cast', 'Organized Crime']",23 min. per ep.,R - 17+ (violence & profanity),8.20,#399,#313,"698,900","10,232",336481,"A series of unfortunate events has led Makoto Edamura to adopt the life of crime—pickpocketing and scamming others for a living. However, after swindling a seemingly clueless tourist, Makoto discovers that he was the one tricked and, to make matters worse, that the police are now after him. While making his escape, he runs into the tourist once again, who turns out to be a fellow con man named Laurent Thierry, and ends up following him to Los Angeles. In an attempt to defend his self-proclaimed title of ""Japan's Greatest Swindler,"" Makoto challenges his rival to determine the better scammer. Accepting the competition, Laurent drops them off outside a huge mansion and claims that their target will be the biggest mafia boss on the West Coast. As Makoto becomes increasingly involved with the cunning Laurent, his colorful associates, and the world of international high-stakes fraud, he soon realizes that he got more than what he bargained for as his self-declared skills are continually put to the test. [Written by MAL Rewrite]","['Sequel (ONA) Great Pretender: Razbliuto', 'Adaptation (Manga) Great Pretender']",Great Pretender,,El Timador Timado,,,,,
7,"Sword Art Online: Alicization 3rd Season, Sword Art Online III 3rd Season, SAO Alicization 3rd Season, Sword Art Online 3 3rd Season, SAO 3 3rd Season, SAO III 3rd Season, Sword Art Online: Alicization - War of Underworld - The Last Season",ソードアート・オンライン アリシゼーション War of Underworld,Sword Art Online: Alicization - War of Underworld Part 2,['TV'],11,Finished Airing,"Jul 12, 2020 to Sep 20, 2020",['Summer 2020'],Sundays at 00:00 (JST),"['Aniplex', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,R - 17+ (violence & profanity),7.50,#1966,#351,"647,660","3,274",372718,"The final battle against the Dark Territory drags on, as players from all over the world flood the Underworld's servers and plunge the Human Empire into utter chaos. Asuna Yuuki and her friends defend their new allies with everything they have, but their numbers are falling. Meanwhile, Alice Zuberg heads toward the World's End Altar while Gabriel ""Vecta"" Miller relentlessly pursues her. Meanwhile, members of Rath strategize a plan in an attempt to restore Kirito's damaged fluctlight. However, the intruders occupying the main control room have other plans. Surrounded by death and despair, when all hope seems to be lost, one voice reaches out to Kirito—a familiar one saying, ""I will always be by your side."" Sword Art Online: Alicization - War of Underworld 2nd Season is the epic conclusion to Akihiko Kayaba's dream of creating artificial human intelligence. Now it is up to Kirito and his friends to protect this collapsing world from the people that still think it is just a game. [Written by MAL Rewrite]","['Prequel (TV) Sword Art Online: Alicization - War of Underworld', 'Prequel (TV Special) Sword Art Online: Alicization - War of Underworld Recap', 'Adaptation (Manga) Sword Art Online: Project Alicization', 'Adaptation (Light Novel) Sword Art Online']",Sword Art Online: Alicization - War of Underworld 2nd Season,Sword Art Online Alicization War of Underworld Teil 2,,Sword Art Online Alicization War of Underworld Partie 2,,['Video Game'],,
8,Uzaki-chan Wants to Play!,宇崎ちゃんは遊びたい！,Uzaki-chan Wants to Hang Out!,['TV'],12,Finished Airing,"Jul 10, 2020 to Sep 25, 2020",['Summer 2020'],Fridays at 21:30 (JST),"['Movic', 'AT-X', 'Enterbrain', 'Sammy', 'ABC Animation', 'Kadokawa Media House', 'Kadokawa', 'INCS toenter', 'IMAGICA Lab.']",['Funimation'],['ENGI'],['Web manga'],"['Comedy', 'Romance']","['Adult Cast', 'Love Status Quo']",23 min. per ep.,PG-13 - Teens 13 or older,6.98,#4448,#475,"500,002","1,749",270479,"At the start of her freshman year in college, Hana Uzaki reunites with Shinichi Sakurai, an upperclassman who was in the same club as her during her high school days. However, much to her surprise, the once active senior has ended up becoming a ""lonesome"" student, preferring to spend his free time in quiet peace. Uzaki does whatever she can to keep Sakurai from being ""alone,"" from convincing him to go to the movies to going to his part-time workplace. While Sakurai finds her irritating and tiresome, he still goes along with Uzaki's hijinks and shenanigans, even if he knows that her perky personality will only lead the two of them into various comical situations. Even so, as the days pass by, their relationship only gets better, to the point where people around them misinterpret them to be a couple. At any rate, whenever Uzaki wants to hang out with her upperclassman, fun and adorable wackiness is sure to follow! [Written by MAL Rewrite]","['Sequel (TV) Uzaki-chan wa Asobitai! Double', 'Adaptation (Manga) Uzaki-chan wa Asobitai!']",Uzaki-chan wa Asobitai!,,,,,,,
9,,デカダンス,,['TV'],12,Finished Airing,"Jul 8, 2020 to Sep 23, 2020",['Summer 2020'],Wednesdays at 23:30 (JST),"['AT-X', 'BS11', 'Kadokawa Media House', 'Kadokawa', 'NewGin']",['Funimation'],['Nut'],Original,"['Action', 'Adventure', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.35,#2565,#828,"311,507",928,139411,"Far in the future, the lifeforms known as Gadoll suddenly arose as a threat to humanity. The last surviving humans on Earth confine themselves to the Tank, a lower district in the giant mobile fortress Deca-Dence. While the Gears who live on the upper floors are warriors who go out to fight as part of the Power, most Tankers are content to provide support from the backlines, butchering Gadoll meat and reinforcing defenses. Natsume is among those who would rather go to the front lines; undeterred by her prosthetic right arm, she seeks to join the small number of Tanker soldiers who join the Gears in combat. But despite her peers at the orphanage each receiving their work assignments, Natsume’s enlistment to the Power remains unapproved. In the meantime, she begins a job as a cleaner in an armor repair team led by the hard-nosed and apathetic Kaburagi, who seems to be more than he lets on. Though initially cold to his idealistic subordinate, he soon recognizes in her the potential to upset the status quo of the world. As Natsume’s new mentor, Kaburagi prepares her for the special and unique role as a game-changing bug in the system. [Written by MAL Rewrite]",[],Deca-Dence,,,,,,,
