,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Theme,German,Spanish,Demographics,French
0,My Star Season 2,【推しの子】第2期,[Oshi No Ko] Season 2,['TV'],13,Finished Airing,"Jul 3, 2024 to Oct 6, 2024",['Summer 2024'],Wednesdays at 23:00 (JST),"['Delfi Sound', 'Shueisha', 'CyberAgent', 'Kadokawa']",['Sentai Filmworks'],['Doga Kobo'],['Manga'],['Drama'],"['Reincarnation', 'Showbiz']",['Seinen'],25 min. per ep.,PG-13 - Teens 13 or older,8.59,#104,#585,"418,799","5,513",182865,"With the help of producer Masaya Kaburagi, Aquamarine ""Aqua"" Hoshino and Kana Arima have landed the roles of Touki and Tsurugi in Lala Lai Theatrical Company's stage adaptation of the popular manga series Tokyo Blade. Co-starring with them is Aqua's girlfriend, Akane Kurokawa, who plays Touki's fiancée, Princess Saya. Due to the fanbase preferring Tsurugi as Touki's love interest, Saya has made fewer and fewer appearances in the manga, making it difficult for Akane to fully immerse herself in the role. Her struggles are compounded by differences between the play's script and the original work—differences that also frustrate Tokyo Blade's author, Abiko Samejima. Aqua, however, is more concerned with his personal goals than he is with the play. He has only one objective in mind: to grow closer to director Toshirou Kindaichi and find out what he knows about Aqua's mother, Ai. [Written by MAL Rewrite]","['Prequel (TV) [Oshi no Ko]', 'Sequel (TV) [Oshi no Ko] 3rd Season', 'Adaptation (Manga) [Oshi no Ko]', '']",[Oshi no Ko] 2nd Season,,,,,,
1,"Roshidere, Alya-san, who sits besides me and sometimes murmurs affectionately in Russian., Arya Next Door Sometimes Lapses into Russian",時々ボソッとロシア語でデレる隣のアーリャさん,Alya Sometimes Hides Her Feelings in Russian,['TV'],12,Finished Airing,"Jul 3, 2024 to Sep 18, 2024",['Summer 2024'],Wednesdays at 23:30 (JST),"['Sega', 'Delfi Sound', 'Kadokawa']","None found,",['Doga Kobo'],['Light novel'],,,,24 min. per ep.,PG-13 - Teens 13 or older,7.60,#1581,#631,"394,673","4,939",197838,"Seirei Academy is a prestigious school attended by the very best students in Japan. Alisa Mikhailovna ""Alya"" Kujou, the half-Russian and half-Japanese treasurer of the school's student council, is known for her intelligence, stunning looks, and rigid personality. Contrasting her near-flawless persona, Alya's unmotivated classmate Masachika Kuze slacks off during lessons and seems to show no interest in her. Initially irritated, Alya gradually becomes more intrigued by Masachika and starts expressing her affection for him in Russian. However, she is oblivious to his secret—he understands the language fluently! Due to a childhood friend who was temporarily staying in Japan, Masachika has been studying Russian in hopes of reuniting with her. As the two spend more time together, the playful and eccentric relationship between them quickly deepens. In the meantime, both must learn to navigate their new growing feelings for one another. [Written by MAL Rewrite]","['Sequel (TV) Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san Season 2', 'Adaptation (Manga) Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san', 'Adaptation (Light Novel) Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san', '']",Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,"['Comedy', 'Romance']",['School'],,,,
2,Wistoria's Wand and Sword,杖と剣のウィストリア,Wistoria: Wand and Sword,['TV'],12,Finished Airing,"Jul 7, 2024 to Sep 29, 2024",['Summer 2024'],Sundays at 16:30 (JST),"['Lantis', 'TBS', 'Kodansha', 'Crunchyroll', 'Jinnan Studio', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']","None found,","['Actas', 'Bandai Namco Pictures']",['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.88,#857,#914,"281,608","1,567",145284,"When humanity was oppressed by mysterious foes known as the Celestial Hosts, five exceptional mages joined forces to defeat them. In fear that these formidable enemies would return, the five most powerful mages, known as the Magia Vander, built a magical dome and a tower to contain them. Since then, the five strongest mages of every generation are tasked with monitoring the dome from the top of the Wizard's Tower. Inspired by this story, childhood friends Will Serfort and Elfaria Albis Serfort promised each other that they would climb to the top of the Wizard's Tower. However, now a sixth-year student at Regarden Magic Academy, Will's future looks bleak. Although Elfaria managed to join the ranks of the Magia Vander five years prior thanks to her unparalleled magical power, Will has no magical abilities whatsoever, attracting the ire of teachers and students alike. However, blessed with an exceptional physique, Will is able to slay monsters in the labyrinth and prevail against skilled magicians with the only aid of his sword and a few magical items. Determined to climb the Wizard's Tower at all cost, Will is determined to not let anyone or anything prevent him from keeping the promise he made to Elfaria. [Written by MAL Rewrite]","['Sequel (TV) Tsue to Tsurugi no Wistoria 2nd Season', 'Adaptation (Manga) Tsue to Tsurugi no Wistoria']",Tsue to Tsurugi no Wistoria,"['Action', 'Adventure', 'Fantasy']",['School'],,,,
3,"Sin-ui Tap, 신의 탑, Tower of God: Return of the Prince, Kami no Tou 2nd Season",神之塔 -Tower of God- 王子の帰還,Tower of God Season 2: Return of the Prince,['TV'],13,Finished Airing,"Jul 7, 2024 to Sep 29, 2024",['Summer 2024'],Sundays at 23:00 (JST),"['Crunchyroll', 'Sola Entertainment', 'Bandai Namco Filmworks', 'Line Digital Frontier']","None found,",['The Answer Studio'],['Web manga'],,,,23 min. per ep.,PG-13 - Teens 13 or older,6.69,#5967,#1026,"253,586","1,270",88887,"On the 20th floor of the Tower, the ""Regulars"" who have been permitted to enter have to undertake arduous and extremely expensive tests to rank up. Most abandon hope and choose to stay where they are—but not Ja Wangnan. Wangnan is determined to reach the top and become the king of the Tower. However, he is weak and has repeatedly failed the exam, with debt collectors tailing him. In desperation, he attempts the exam one more time, only to encounter a mysterious and powerful individual: Jyu Viole Grace, a member of the crime syndicate FUG. Cursing his rotten luck, Wangnan has no choice but to form alliances with strong people, including Viole—who still refuses to be part of any team. Amid a dire situation, Wangnan must find a way to change Viole's mind to finally advance past the 20th floor, or he will never get a chance to build his legacy. [Written by MAL Rewrite]","['Prequel (TV) Kami no Tou', 'Sequel (TV) Kami no Tou: Koubou-sen', 'Adaptation (Manhwa) Tower of God', '']",Kami no Tou: Ouji no Kikan,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",,,,,
4,Makeine,負けヒロインが多すぎる！,Makeine: Too Many Losing Heroines!,['TV'],12,Finished Airing,"Jul 14, 2024 to Sep 29, 2024",['Summer 2024'],Sundays at 00:30 (JST),"['Aniplex', 'Yomiuri Telecasting', 'Tokyo MX', 'Good Smile Company', 'BS11', 'Contents Seed', 'INSPION Edge', 'JR Tokai Agency']","None found,",['A-1 Pictures'],['Light novel'],,,,24 min. per ep.,PG-13 - Teens 13 or older,8.15,#463,#1027,"253,350","2,753",127639,"Despite not understanding much about fleeting teen romance, first-year high school student Kazuhiko Nukumizu still wonders how he would react if his life were to be turned into a love story. Regardless, as a self-proclaimed ""background character,"" Nukumizu is satisfied continuing his life as an introvert with a negligible social life. However, he suddenly finds himself too close to the spotlight when he witnesses his popular classmate Anna Yanami be rejected by her childhood friend in the middle of a family restaurant. While Nukumizu wishes he could just forget what he saw and move on, Anna ends up forcefully confiding herself in Nukumizu, lamenting her status as a childhood friend fated to have her beloved stolen. As he becomes dragged into Anna's situation, Nukumizu soon gets caught up in the relationship drama of two more girls: Lemon Yakishio, an outgoing member of the track and field club; and Chika Komari, a shy member of the literature club. Now thrust out of his comfort zone, Nukumizu finds himself a major character in the lives of too many losing heroines. [Written by MAL Rewrite]","['Adaptation (Manga) Make Heroine ga Oosugiru! @comic', 'Adaptation (Light Novel) Make Heroine ga Oosugiru!']",Make Heroine ga Oosugiru!,"['Comedy', 'Romance']",['School'],,,,
5,,しかのこのこのここしたんたん,My Deer Friend Nokotan,['TV'],12,Finished Airing,"Jul 7, 2024 to Sep 22, 2024",['Summer 2024'],Sundays at 23:30 (JST),"['Dentsu', 'Twin Engine']","None found,",['Wit Studio'],['Manga'],['Comedy'],"['Gag Humor', 'School']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.02,#4313,#1077,"240,855","1,614",93550,"Torako Koshi is the epitome of perfection. With her peerless beauty, top-notch grades, and position as student council president, her popularity in school is unrivaled. However, she harbors a dark secret—she was a delinquent back in middle school—and this is something she conceals to the best of her abilities. Unfortunately, when she meets the mysterious deer girl Noko Shikanoko, Torako's hidden shame is constantly on the precipice of being exposed due to Shikanoko's rather weird antics. To maintain the reputation she worked so hard for, Torako must go along with Shikanoko's whims, even going so far as to become president of the newly established Deer Club. All her efforts will be rewarded if she can prevent the menacing doe from accidentally blurting out damaging details about her personal history that will undoubtedly unleash Torako's greatest nightmare. [Written by MAL Rewrite]","['Adaptation (Manga) Shikanoko Nokonoko Koshitantan', '']",Shikanoko Nokonoko Koshitantan,,,,,,
6,No Longer Human...In Another World,異世界失格,No Longer Allowed in Another World,['TV'],12,Finished Airing,"Jul 9, 2024 to Sep 24, 2024",['Summer 2024'],Tuesdays at 23:30 (JST),"['Movic', 'AT-X', 'Magic Capsule', 'BS11', 'Kadokawa']","None found,",['Atelier Pontdarc'],['Web manga'],,"['Isekai', 'Parody']",,23 min. per ep.,PG-13 - Teens 13 or older,7.28,#2940,#1314,"194,884",772,77389,"Just as the famous writer Sensei is about to accomplish his life ambition and commit double suicide with his lover Sacchan, he is hit by a truck and transported to another world. Deemed an adventurer by the local priestess Annette, Sensei is given the daunting mission of slaying the demon king. Refusing to play into his new role, Sensei decides his efforts are better served looking for Sacchan in the hope that she is somewhere in this new world. Early on in his journey, Sensei crosses paths with the martial artist Tama and unexpectedly saves her from mortal peril. Grateful for his actions, Tama decides to escort him. The pair are soon joined by Annette who, seduced by the writer's strong personality, has sworn to protect Sensei's life. As the unlikely trio wander the dangerous, monster-infested lands, they soon realize that human beings might be the true threats to the peace of the world—and Sensei might be the only one with the power to stop them. [Written by MAL Rewrite]","['Adaptation (Manga) Isekai Shikkaku', '']",Isekai Shikkaku,"['Adventure', 'Comedy', 'Fantasy']",,,,,
7,"I became the strongest with the failure frame ""Abnormal State Skill"" as I devastated everything, Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells",ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで,Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells,['TV'],12,Finished Airing,"Jul 5, 2024 to Sep 27, 2024",['Summer 2024'],Fridays at 00:59 (JST),"['Pierrot', 'Pony Canyon', 'TBS', 'DAX Production', 'Docomo Anime Store', 'BS11', 'Overlap', 'Nichion', 'MAGNET']","None found,",['Seven Arcs'],['Light novel'],,,,24 min. per ep.,PG-13 - Teens 13 or older,6.48,#7193,#1395,"182,180",725,89335,"When loner Touka Mimori is summoned to another world alongside his classmates, he obtains the power to inflict status ailments, such as paralysis or poison, on his enemies. Unfortunately for him, skills of this nature are considered useless due to their low success rate, and Touka is thus assigned the title of E-rank hero. Things take a further turn for the worse when Vicius, the goddess who summoned the class, reveals that the lowest-ranked hero will be disposed of so that they do not hinder those with greater talent. Banished to a notoriously dangerous area, Touka comes face-to-face with death after being cornered by a minotaur-like creature. In a desperate attempt to survive, he uses his supposedly worthless skill—only to quickly realize that it works almost every time. Armed with the ability to render the monsters standing in his way completely helpless, Touka resolves to track down the goddess that tossed him aside and exact his revenge. [Written by MAL Rewrite]","['Adaptation (Manga) Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made', 'Adaptation (Light Novel) Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made']","Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made","['Action', 'Adventure', 'Fantasy']",['Isekai'],,,,
8,,義妹生活,Days with My Stepsister,['TV'],12,Finished Airing,"Jul 4, 2024 to Sep 19, 2024",['Summer 2024'],Thursdays at 21:00 (JST),"['Movic', 'AT-X', 'Nippon Columbia', 'Kansai Telecasting', 'Kadokawa', 'Pia', '100studio', 'One Cushion']","None found,",['Studio Deen'],['Light novel'],['Romance'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.34,#2633,#1416,"177,335","1,391",70828,"Yuuta Asamura gets a new stepsister after his father remarries, Saki Ayase, who happens to be the number one beauty of the school year. They promise each other not to be too close, not to be too opposing, and to simply keep a vague and comfortable distance, having learned important values about men and women relationships from their parents' previous ones. Saki, who has worked alone for the sake of her family, doesn't know how to properly rely on others, whereas Yuuta is unsure of how to truly treat her. Standing on fairly equal ground, these two gradually learn the comfort of living together. Their relationship progresses from strangers to friends as the days pass. This is a story that may one day lead to love. (Source: MAL News)","['Adaptation (Manga) Gimai Seikatsu', 'Adaptation (Light Novel) Gimai Seikatsu']",Gimai Seikatsu,,,,,,
9,,疑似ハーレム,Pseudo Harem,['TV'],12,Finished Airing,"Jul 5, 2024 to Sep 20, 2024",['Summer 2024'],Fridays at 00:30 (JST),"['Pony Canyon', 'BS Fuji', 'Tokyo MX', 'bilibili']","None found,",['Nomad'],['Web manga'],,"['Love Status Quo', 'School']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.84,#955,#1449,"174,243","1,348",68497,"Eiji Kitahama has a dream shared by many high school guys: to be popular and have a harem of girls fawning over him. Luckily for him, his new junior in the drama club, Rin Nanakura, has decided to help him realize this wish. Using her impressive acting abilities, she takes on many personalities, from teasing to calm and collected, to play characters in Eiji's simulated harem. As her connection with Eiji deepens, Rin expands her repertoire, quickly swapping between characters while enjoying high school life together in the club. Through her acting, the real Rin Nanakura tries her best to win Eiji's heart. [Written by MAL Rewrite]","['Adaptation (Manga) Giji Harem', '']",Giji Harem,"['Comedy', 'Romance']",,,,,
